episode,update,state,action,reward,next_state,done,q_old,q_new,td_error,alpha,gamma,epsilon
192,43000,"(6, 3, 0, 201)",0,0.45,"(5, 3, 0, 200)",0,-0.091643,-0.091354,0.001932,0.15,0.99,0.682234
194,43500,"(2, 3, 0, 151)",0,0.45,"(1, 3, 0, 150)",0,-2.415624,-2.438954,-0.155539,0.15,0.99,0.679508
196,44000,"(4, 1, 0, 101)",0,0.45,"(3, 1, 0, 100)",0,-0.309873,-0.279929,0.199623,0.15,0.99,0.676793
198,44500,"(7, 15, 0, 51)",3,-6.05,"(7, 15, 0, 50)",0,-2.332164,-2.947482,-4.10212,0.15,0.99,0.674088
200,45000,"(1, 4, 0, 1)",0,-26.05,"(1, 4, 0, 0)",1,-6.062491,-9.060617,-19.987509,0.15,0.99,0.671394
203,45500,"(3, 1, 0, 176)",0,-0.55,"(2, 1, 0, 175)",0,-1.119292,-1.120877,-0.010566,0.15,0.99,0.667374
205,46000,"(3, 3, 0, 126)",2,-1.05,"(3, 3, 0, 125)",0,-2.148618,-2.302895,-1.028514,0.15,0.99,0.664707
207,46500,"(4, 3, 0, 76)",3,-1.05,"(4, 3, 0, 75)",0,-1.561195,-1.611947,-0.338346,0.15,0.99,0.662051
209,47000,"(1, 15, 0, 26)",2,0.45,"(2, 15, 0, 25)",0,-2.460511,-2.028833,2.877855,0.15,0.99,0.659406
212,47500,"(5, 3, 0, 201)",2,-1.05,"(5, 3, 0, 200)",0,-0.692433,-0.848894,-1.043076,0.15,0.99,0.655457
214,48000,"(3, 1, 0, 151)",3,-1.05,"(3, 1, 0, 150)",0,-1.967872,-2.029523,-0.41101,0.15,0.99,0.652838
216,48500,"(3, 1, 0, 101)",3,-1.05,"(3, 1, 0, 100)",0,-1.334536,-1.410352,-0.505442,0.15,0.99,0.650229
218,49000,"(5, 4, 0, 51)",3,0.45,"(5, 3, 0, 50)",0,-0.41924,-0.376759,0.283209,0.15,0.99,0.647631
220,49500,"(5, 3, 0, 1)",1,-20.55,"(5, 4, 0, 0)",1,-4.519057,-6.923699,-16.030943,0.15,0.99,0.645043
223,50000,"(3, 3, 0, 176)",3,-0.55,"(3, 2, 0, 175)",0,-2.290785,-2.293435,-0.017668,0.15,0.99,0.64118
225,50500,"(2, 15, 0, 126)",0,-0.55,"(1, 15, 0, 125)",0,-0.231893,-0.192621,0.261815,0.15,0.99,0.638618
227,51000,"(3, 3, 0, 76)",2,-0.55,"(4, 3, 0, 75)",0,-1.553666,-1.586977,-0.22207,0.15,0.99,0.636066
229,51500,"(2, 5, 0, 26)",3,-1.05,"(2, 5, 0, 25)",0,-1.222677,-1.359874,-0.914644,0.15,0.99,0.633524
232,52000,"(4, 1, 0, 201)",1,0.45,"(3, 1, 0, 200)",0,-1.704102,-1.577164,0.846251,0.15,0.99,0.629731
234,52500,"(3, 3, 0, 151)",2,-0.55,"(3, 2, 0, 150)",0,-2.357024,-2.371856,-0.098881,0.15,0.99,0.627215
236,53000,"(3, 15, 0, 101)",1,-1.05,"(3, 15, 0, 100)",0,-0.42161,-0.411153,0.069717,0.15,0.99,0.624708
238,53500,"(10, 1, 0, 51)",0,0.45,"(9, 1, 0, 50)",0,-0.203966,-0.148452,0.370091,0.15,0.99,0.622212
240,54000,"(1, 12, 0, 1)",3,-21.05,"(1, 12, 0, 0)",1,-2.281002,-5.096352,-18.768998,0.15,0.99,0.619726
243,54500,"(3, 3, 0, 176)",2,-0.55,"(4, 3, 0, 175)",0,-2.582373,-2.586366,-0.026616,0.15,0.99,0.616015
245,55000,"(5, 4, 0, 126)",3,0.45,"(5, 3, 0, 125)",0,-1.019162,-0.991102,0.187064,0.15,0.99,0.613553
247,55500,"(4, 1, 0, 76)",3,-1.05,"(4, 1, 0, 75)",0,-0.88023,-0.940178,-0.399658,0.15,0.99,0.611101
249,56000,"(2, 1, 0, 26)",2,0.45,"(3, 1, 0, 25)",0,-1.296192,-1.29047,0.038149,0.15,0.99,0.608659
252,56500,"(4, 1, 0, 201)",0,-1.05,"(4, 1, 0, 200)",0,-1.228643,-1.3843,-1.037714,0.15,0.99,0.605015
254,57000,"(6, 3, 0, 151)",0,0.45,"(5, 3, 0, 150)",0,-0.832957,-0.852076,-0.127462,0.15,0.99,0.602597
256,57500,"(5, 4, 0, 101)",2,-1.05,"(5, 4, 0, 100)",0,-1.203568,-1.249731,-0.307749,0.15,0.99,0.600189
