episode,update,state,action,reward,next_state,done,q_old,q_new,td_error,alpha,gamma,epsilon
198,44500,"(3, 8, 0, 51)",0,-0.05,"(3, 8, 0, 50)",0,-0.126103,-0.131489,-0.035912,0.15,0.99,0.674088
200,45000,"(9, 7, 0, 1)",1,-0.05,"(9, 8, 0, 0)",1,-0.041585,-0.042848,-0.008415,0.15,0.99,0.671394
203,45500,"(5, 3, 0, 176)",1,-0.05,"(5, 4, 0, 175)",0,-0.250404,-0.251288,-0.005892,0.15,0.99,0.667374
205,46000,"(11, 1, 0, 126)",3,-0.05,"(12, 1, 0, 125)",0,-0.104095,-0.108382,-0.028586,0.15,0.99,0.664707
207,46500,"(2, 15, 0, 76)",3,-0.05,"(2, 15, 0, 75)",0,-0.069088,-0.076485,-0.049309,0.15,0.99,0.662051
209,47000,"(9, 4, 0, 26)",1,-0.05,"(9, 5, 0, 25)",0,-0.110973,-0.116579,-0.037378,0.15,0.99,0.659406
212,47500,"(1, 9, 0, 201)",3,-0.05,"(1, 9, 0, 200)",0,0.0,-0.0075,-0.05,0.15,0.99,0.655457
214,48000,"(8, 9, 0, 151)",1,-0.05,"(8, 9, 0, 150)",0,-0.051512,-0.058177,-0.044434,0.15,0.99,0.652838
216,48500,"(8, 9, 0, 101)",3,-0.05,"(8, 9, 0, 100)",0,-0.065143,-0.072545,-0.049349,0.15,0.99,0.650229
218,49000,"(1, 15, 0, 51)",3,-0.05,"(1, 14, 0, 50)",0,-0.064152,-0.074848,-0.071311,0.15,0.99,0.647631
220,49500,"(3, 3, 0, 1)",2,-0.05,"(4, 3, 0, 0)",1,-0.078575,-0.074289,0.028575,0.15,0.99,0.645043
223,50000,"(12, 5, 0, 176)",0,-0.05,"(11, 5, 0, 175)",0,-0.013875,-0.019294,-0.036125,0.15,0.99,0.64118
225,50500,"(6, 9, 0, 126)",2,-0.05,"(7, 9, 0, 125)",0,-0.101829,-0.107635,-0.03871,0.15,0.99,0.638618
227,51000,"(11, 7, 0, 76)",3,-0.05,"(11, 6, 0, 75)",0,-0.063522,-0.067826,-0.028695,0.15,0.99,0.636066
229,51500,"(15, 7, 0, 26)",3,-0.05,"(15, 6, 0, 25)",0,-0.049647,-0.056899,-0.048346,0.15,0.99,0.633524
232,52000,"(3, 3, 0, 201)",2,-0.05,"(3, 2, 0, 200)",0,-0.263938,-0.276795,-0.085718,0.15,0.99,0.629731
234,52500,"(9, 4, 0, 151)",0,-0.05,"(9, 3, 0, 150)",0,-0.139576,-0.148857,-0.061869,0.15,0.99,0.627215
236,53000,"(7, 15, 0, 101)",0,-0.05,"(6, 15, 0, 100)",0,0.0,-0.0075,-0.05,0.15,0.99,0.624708
238,53500,"(11, 1, 0, 51)",0,-0.05,"(10, 1, 0, 50)",0,-0.100147,-0.105294,-0.034315,0.15,0.99,0.622212
240,54000,"(1, 15, 0, 1)",3,-0.05,"(1, 15, 0, 0)",1,-0.095048,-0.08829,0.045048,0.15,0.99,0.619726
243,54500,"(9, 4, 0, 176)",0,-0.05,"(9, 4, 0, 175)",0,-0.142284,-0.147629,-0.035636,0.15,0.99,0.616015
245,55000,"(10, 3, 0, 126)",0,-0.05,"(9, 3, 0, 125)",0,-0.163248,-0.169043,-0.038632,0.15,0.99,0.613553
247,55500,"(5, 4, 0, 76)",1,-0.05,"(5, 5, 0, 75)",0,-0.097191,-0.103728,-0.043579,0.15,0.99,0.611101
249,56000,"(3, 2, 0, 26)",1,-0.05,"(3, 3, 0, 25)",0,-0.093314,-0.099855,-0.043608,0.15,0.99,0.608659
252,56500,"(4, 3, 0, 201)",1,-0.05,"(5, 3, 0, 200)",0,-0.238984,-0.238484,0.003332,0.15,0.99,0.605015
254,57000,"(11, 11, 0, 151)",2,-0.05,"(12, 11, 0, 150)",0,-0.0075,-0.013875,-0.0425,0.15,0.99,0.602597
256,57500,"(3, 1, 0, 101)",0,-0.05,"(2, 1, 0, 100)",0,-0.125823,-0.132272,-0.042995,0.15,0.99,0.600189
258,58000,"(3, 14, 0, 51)",0,-0.05,"(3, 14, 0, 50)",0,-0.063586,-0.07099,-0.049364,0.15,0.99,0.597791
260,58500,"(1, 15, 0, 1)",2,-0.05,"(1, 14, 0, 0)",1,-0.096486,-0.089513,0.046486,0.15,0.99,0.595402
263,59000,"(6, 9, 0, 176)",1,-0.05,"(5, 9, 0, 175)",0,-0.065792,-0.077608,-0.078773,0.15,0.99,0.591837
265,59500,"(1, 12, 0, 126)",1,-0.05,"(1, 13, 0, 125)",0,-0.122875,-0.130401,-0.050173,0.15,0.99,0.589472
267,60000,"(6, 1, 0, 76)",0,-0.05,"(5, 1, 0, 75)",0,-0.133059,-0.137999,-0.032936,0.15,0.99,0.587116
269,60500,"(7, 3, 0, 26)",3,-0.05,"(7, 3, 0, 25)",0,-0.127099,-0.134409,-0.048729,0.15,0.99,0.58477
272,61000,"(1, 1, 0, 201)",2,-0.05,"(1, 1, 0, 200)",0,-0.503043,-0.509788,-0.04497,0.15,0.99,0.581268
274,61500,"(5, 8, 0, 151)",0,-0.05,"(5, 8, 0, 150)",0,-0.139109,-0.1464,-0.048609,0.15,0.99,0.578946
276,62000,"(7, 9, 0, 101)",1,-0.05,"(7, 10, 0, 100)",0,-0.109324,-0.118558,-0.061559,0.15,0.99,0.576632
278,62500,"(5, 4, 0, 51)",3,-0.05,"(5, 4, 0, 50)",0,-0.118259,-0.125582,-0.048817,0.15,0.99,0.574328
280,63000,"(6, 15, 1, 1)",1,-0.05,"(6, 15, 1, 0)",1,0.0,-0.0075,-0.05,0.15,0.99,0.572033
283,63500,"(1, 12, 0, 176)",1,-0.05,"(1, 13, 0, 175)",0,-0.073052,-0.07688,-0.025521,0.15,0.99,0.568608
285,64000,"(15, 9, 0, 126)",3,-0.05,"(15, 8, 0, 125)",0,-0.025796,-0.035447,-0.064341,0.15,0.99,0.566335
287,64500,"(15, 1, 0, 76)",1,-0.05,"(14, 1, 0, 75)",0,-0.057478,-0.067434,-0.066376,0.15,0.99,0.564072
289,65000,"(7, 12, 0, 26)",2,-0.05,"(7, 12, 0, 25)",0,-0.137509,-0.144803,-0.048625,0.15,0.99,0.561818
292,65500,"(1, 3, 0, 201)",0,-0.05,"(1, 4, 0, 200)",0,-0.24453,-0.245218,-0.004587,0.15,0.99,0.558454
294,66000,"(15, 8, 0, 151)",1,-0.05,"(15, 8, 0, 150)",0,-0.0075,-0.014989,-0.049925,0.15,0.99,0.556223
296,66500,"(11, 1, 0, 101)",2,-0.05,"(11, 2, 0, 100)",0,-0.103127,-0.111306,-0.054522,0.15,0.99,0.554
298,67000,"(10, 11, 0, 51)",1,-0.05,"(10, 11, 0, 50)",0,-0.081943,-0.088873,-0.046197,0.15,0.99,0.551786
300,67500,"(15, 2, 0, 1)",0,-0.05,"(15, 2, 0, 0)",1,-0.090608,-0.084517,0.040608,0.15,0.99,0.549581
